elongation,stress,strain
0,0,0
0.014212077,0.08403875,0.000142121
0.734655056,11.31467164,0.007346551
1.164843694,19.92176756,0.011648437
1.743712522,29.08963115,0.017437125
2.500778931,39.62961831,0.025007789
3.313053793,50.54395991,0.033130538
3.987580831,61.84487975,0.039875808
5.339368,75.18259328,0.05339368
6.521156863,87.39571555,0.065211569
7.842880023,97.82416038,0.0784288
9.254795209,109.0624332,0.092547952
11.05590266,118.5908994,0.110559027
12.7673647,127.7602909,0.127673647
15.39167938,135.9258014,0.153916794
18.19583149,142.7925312,0.181958315
21.22792345,148.319225,0.212279235
25.3800364,149.6439813,0.253800364
26.52465522,135.1358372,0.265246552